0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:55:21 +0900] "GET /ex0414/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:55:24 +0900] "GET /ex0414/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:55:25 +0900] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:55:31 +0900] "GET /ex0414/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:56:03 +0900] "GET /ex0414/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:01:00 +0900] "GET /ex0414/ex03.html HTTP/1.1" 200 809
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:01:22 +0900] "GET /ex0414/ex03.html HTTP/1.1" 200 811
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:01:28 +0900] "GET /ex0414/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:01:48 +0900] "GET /ex0414/ex03.html HTTP/1.1" 200 808
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:03:06 +0900] "GET /ex0414/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:05:01 +0900] "GET /ex0414/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:05:01 +0900] "GET /ex0414/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:05:01 +0900] "GET /ex0414/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:05:02 +0900] "GET /ex0414/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:05:03 +0900] "GET /ex0414/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:05:07 +0900] "GET /ex0414/ex03.html HTTP/1.1" 200 876
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:05:08 +0900] "GET /ex0414/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:05:08 +0900] "GET /ex0414/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:05:51 +0900] "GET /ex0414/ex03.html HTTP/1.1" 200 1003
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:05:52 +0900] "GET /ex0414/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:05:52 +0900] "GET /ex0414/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:06:26 +0900] "GET /ex0414/ex03.html HTTP/1.1" 200 1009
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:06:27 +0900] "GET /ex0414/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:08:54 +0900] "GET /ex0414/ex03.html HTTP/1.1" 200 1151
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:09:27 +0900] "GET /ex0414/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:09:28 +0900] "GET /ex0414/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:10:45 +0900] "GET /ex0414/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:10:48 +0900] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:11:31 +0900] "GET /ex0414/ex03.html HTTP/1.1" 200 1152
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:11:31 +0900] "GET /ex0414/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:11:31 +0900] "GET /ex0414/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:11:31 +0900] "GET /ex0414/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:11:32 +0900] "GET /ex0414/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:16:00 +0900] "GET /ex0414/ex03.html HTTP/1.1" 200 1302
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:18:15 +0900] "GET /ex0414/ex03.html HTTP/1.1" 200 1415
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:18:15 +0900] "GET /ex0414/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:18:15 +0900] "GET /ex0414/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:18:16 +0900] "GET /ex0414/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:18:16 +0900] "GET /ex0414/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:18:28 +0900] "GET /ex0414/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:18:30 +0900] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:19:03 +0900] "GET /ex0414/ex03.html HTTP/1.1" 200 1409
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:19:03 +0900] "GET /ex0414/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:19:03 +0900] "GET /ex0414/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:21:18 +0900] "GET /ex0414/ex03.html HTTP/1.1" 200 1414
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:21:18 +0900] "GET /ex0414/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:21:19 +0900] "GET /ex0414/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:21:19 +0900] "GET /ex0414/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:21:19 +0900] "GET /ex0414/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:22:21 +0900] "GET /ex0414/ex03.html HTTP/1.1" 200 1408
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:22:49 +0900] "GET /ex0414/ex03.html HTTP/1.1" 200 1407
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:22:50 +0900] "GET /ex0414/ex03.html HTTP/1.1" 304 -
